station_id,name,lat,lon,capacity,address,is_charging_station,nearby_distance
7930,Dunn Ave / Queen St W,43.6395227542118,-79.4339597681573,15,240 Dunn Ave,False,300.0
7931,Symes Rd / Glen Scarlett Rd - SMART,43.6733915249315,-79.4779836781457,15,Symes Rd / Glen Scarlett Rd,False,300.0
7932,Boston Ave / Queen St E- SMART,43.6616016509643,-79.3389458285727,12,Boston Ave / Queen St E- SMART,False,300.0
7933,Elizabeth St / Elm St,43.6570908165693,-79.3859366883427,23,Elizabeth St/ Elm St,False,200.0
7934,19 Glendora Ave,43.7592114383339,-79.409603648017,11,19 Glendora Ave,True,300.0
7935,Ramsden Park,43.6761845613028,-79.3896249640015,15,Ramsden Park,False,300.0
7936,Adelaide St W / Bay St (South),43.650116375938,-79.3795306886033,15,Adelaide St W / Bay St ( South ),False,100.0
7937,Adelaide St W / Yonge St,43.6503800232566,-79.3787277120385,19,Adelaide St W / Yonge St,False,100.0
7938,Portland St / Wellington St W,43.6429016715293,-79.3993703313433,15,Portland St / Wellington St W,False,100.0
7939,Princes' Gates,43.6346732367601,-79.4089732188665,17,Princes' Gates,False,50.0
7940,Lillian St / Soudan Ave - SMART,43.7060728724846,-79.3935616165329,32,44 Lillian St ,False,100.0
7941,Hanna Ave / Snooker St,43.639547,-79.420022,2,40 Hanna Ave,False,100.0
7942,Hillsdale Ave E / Mount Pleasant Rd,43.705121266154,-79.3890271081274,15,Hillsdale Ave E / Mount Pleasant Rd,False,300.0
7943,OCAD University,43.6523155230479,-79.3909118500024,23,OCAD  University (Grange Rd / McCaul St),False,100.0
7944,Harbord St / Grace St (Bickford Park),43.6599536351805,-79.4178738888855,23,Harbord St / Grace St (Bickford Park),False,200.0
7945,Front St W / Spadina Ave,43.6423548034036,-79.3951975187714,31,486 Front St W ,False,100.0
7946,Richmond St W / Bathurst St,43.6466674842523,-79.4029959134918,15,612 Richmond St W ,False,200.0
7947,Niagara St / Queen St W ,43.6457286846685,-79.4099068018177,11,839 Queen St W ,False,50.0
7948,Bathurst St / Housey St,43.6378190396121,-79.4001317675286,23,Bathurst St / Housey St,False,100.0
7950,Crawford St / Lobb Ave,43.6465494140102,-79.41558900318,23,Crawford St / Lobb Ave,False,100.0
7951,Fort York Blvd / Grand Magazine St,43.6375878290447,-79.4031423220902,19,Fort York Blvd / Grand Magazine St,False,100.0
7952,Adelaide St W / York St ,43.6491919790139,-79.3836323742745,19,Adelaide St W / York St ,False,100.0
7953,Church St / Shuter St,43.65505698169,-79.3765102460327,14, Church St / Shuter St,False,100.0
7954,Adelaide St E / Parliament St,43.6537833743251,-79.3633597337295,23,113 Parliament St,False,150.0
7955,Wellesley St E / Jarvis St,43.6662047,-79.3790122,23,Wellesley St E / Jarvis St,False,100.0
7956,Benshire Dr / The Meadoway,43.761740920195,-79.2447396141556,11,Benshire Dr / The Meadoway,False,3400.0
